probes,genes,,,,,,,,,,,,,,,,,,,
26009_at,ZZZ3,,,,,,,,,,,,,,,,,,,
23140_at,ZZEF1,,,,,,,,,,,,,,,,,,,
7791_at,ZYX,,,,,,,,,,,,,,,,,,,
79699_at,ZYG11B,,,,,,,,,,,,,,,,,,,
440590_at,ZYG11A,,,,,,,,,,,,,,,,,,,
79364_at,ZXDC,,,,,,,,,,,,,,,,,,,
158586_at,ZXDB,,,,,,,,,,,,,,,,,,,
7789_at,ZXDA,,,,,,,,,,,,,,,,,,,
11130_at,ZWINT,,,,,,,,,,,,,,,,,,,
55055_at,ZWILCH,,,,,,,,,,,,,,,,,,,
9183_at,ZW10,,,,,,,,,,,,,,,,,,,
221302_at,ZUP1,,,,,,,,,,,,,,,,,,,
374920_at,ZSWIM9,,,,,,,,,,,,,,,,,,,
100507331_at,ZSWIM8-AS1,,,,,,,,,,,,,,,,,,,
23053_at,ZSWIM8,,,,,,,,,,,,,,,,,,,
125150_at,ZSWIM7,,,,,,,,,,,,,,,,,,,
57688_at,ZSWIM6,,,,,,,,,,,,,,,,,,,
391697_at,ZSWIM5P3,,,,,,,,,,,,,,,,,,,
57643_at,ZSWIM5,,,,,,,,,,,,,,,,,,,
65249_at,ZSWIM4,,,,,,,,,,,,,,,,,,,
140831_at,ZSWIM3,,,,,,,,,,,,,,,,,,,
151112_at,ZSWIM2,,,,,,,,,,,,,,,,,,,
90204_at,ZSWIM1,,,,,,,,,,,,,,,,,,,
7746_at,ZSCAN9,,,,,,,,,,,,,,,,,,,
649137_at,ZSCAN5C,,,,,,,,,,,,,,,,,,,
342933_at,ZSCAN5B,,,,,,,,,,,,,,,,,,,
79149_at,ZSCAN5A,,,,,,,,,,,,,,,,,,,
201516_at,ZSCAN4,,,,,,,,,,,,,,,,,,,
54925_at,ZSCAN32,,,,,,,,,,,,,,,,,,,
64288_at,ZSCAN31,,,,,,,,,,,,,,,,,,,
100101467_at,ZSCAN30,,,,,,,,,,,,,,,,,,,
146050_at,ZSCAN29,,,,,,,,,,,,,,,,,,,
7741_at,ZSCAN26,,,,,,,,,,,,,,,,,,,
221785_at,ZSCAN25,,,,,,,,,,,,,,,,,,,
222696_at,ZSCAN23,,,,,,,,,,,,,,,,,,,
342945_at,ZSCAN22,,,,,,,,,,,,,,,,,,,
7589_at,ZSCAN21,,,,,,,,,,,,,,,,,,,
7579_at,ZSCAN20,,,,,,,,,,,,,,,,,,,
54993_at,ZSCAN2,,,,,,,,,,,,,,,,,,,
65982_at,ZSCAN18,,,,,,,,,,,,,,,,,,,
100129195_at,ZSCAN16-AS1,,,,,,,,,,,,,,,,,,,
80345_at,ZSCAN16,,,,,,,,,,,,,,,,,,,
221584_at,ZSCAN12P1,,,,,,,,,,,,,,,,,,,
9753_at,ZSCAN12,,,,,,,,,,,,,,,,,,,
84891_at,ZSCAN10,,,,,,,,,,,,,,,,,,,
284312_at,ZSCAN1,,,,,,,,,,,,,,,,,,,
8233_at,ZRSR2,,,,,,,,,,,,,,,,,,,
84083_at,ZRANB3,,,,,,,,,,,,,,,,,,,
100852410_at,ZRANB2-AS2,,,,,,,,,,,,,,,,,,,
100132618_at,ZRANB2-AS1,,,,,,,,,,,,,,,,,,,
9406_at,ZRANB2,,,,,,,,,,,,,,,,,,,
